,bio_func_names
0,Enzyme Classification_Hydrolases
1,Enzyme Classification_Isomerases
2,Enzyme Classification_Ligases
3,Enzyme Classification_Lyases
4,Enzyme Classification_Not-Enzyme
5,Enzyme Classification_Oxireductases
6,Enzyme Classification_Transferases
7,Enzyme Classification_Translocases
8,Essentiality_Essential
9,Essentiality_Non-Essential
10,Essentiality_UNK
11,Biological Process (1)
12,Biological Process (2)
13,Biological Process (3)
14,Molecular Function (1)
15,Molecular Function (2)
16,Molecular Function (3)
17,1-acylglycerol-3-phosphate O-acyltransferase activity
18,1-phosphatidylinositol binding
19,1-phosphatidylinositol-3-kinase activity
20,1-phosphatidylinositol-3-kinase regulator activity
21,14-3-3 protein binding
22,"2 iron, 2 sulfur cluster binding"
23,"3',5'-cyclic-AMP phosphodiesterase activity"
24,"3',5'-cyclic-GMP phosphodiesterase activity"
25,3'-5' exonuclease activity
26,3'-5'-exoribonuclease activity
27,"4 iron, 4 sulfur cluster binding"
28,5'-3' exonuclease activity
29,5'-nucleotidase activity
30,5S rRNA binding
31,ADP binding
32,AMP binding
33,ARF guanyl-nucleotide exchange factor activity
34,AT DNA binding
35,ATP binding
36,ATP-dependent 3'-5' RNA helicase activity
37,ATP-dependent DNA helicase activity
38,ATP-dependent RNA helicase activity
39,"ATP-dependent microtubule motor activity, minus-end-directed"
40,"ATP-dependent microtubule motor activity, plus-end-directed"
41,ATPase activator activity
42,ATPase activity
43,"ATPase activity, coupled"
44,"ATPase activity, coupled to transmembrane movement of substances"
45,ATPase binding
46,ATPase-coupled anion transmembrane transporter activity
47,AU-rich element binding
48,BMP binding
49,C-C chemokine binding
50,C-C chemokine receptor activity
51,C2H2 zinc finger domain binding
52,CARD domain binding
53,CCR chemokine receptor binding
54,D1 dopamine receptor binding
55,DNA binding
56,"DNA binding, bending"
57,DNA helicase activity
58,DNA polymerase binding
59,DNA replication origin binding
60,DNA-(apurinic or apyrimidinic site) endonuclease activity
61,"DNA-binding transcription activator activity, RNA polymerase II-specific"
62,DNA-binding transcription factor activity
63,"DNA-binding transcription factor activity, RNA polymerase II-specific"
64,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
65,DNA-dependent ATPase activity
66,DNA-directed 5'-3' RNA polymerase activity
67,DNA-directed DNA polymerase activity
68,E-box binding
69,FAD binding
70,FMN binding
71,G protein-coupled peptide receptor activity
72,G protein-coupled photoreceptor activity
73,G protein-coupled purinergic nucleotide receptor activity
74,G protein-coupled receptor activity
75,G protein-coupled receptor binding
76,G protein-coupled serotonin receptor activity
77,G-protein activated inward rectifier potassium channel activity
78,G-protein alpha-subunit binding
79,G-protein beta-subunit binding
80,G-protein beta/gamma-subunit complex binding
81,G-rich strand telomeric DNA binding
82,GABA receptor binding
83,GABA-A receptor activity
84,GABA-gated chloride ion channel activity
85,GDP binding
86,GDP-dissociation inhibitor activity
87,GTP binding
88,GTP-Rho binding
89,GTP-dependent protein binding
90,GTPase activating protein binding
91,GTPase activator activity
92,GTPase activity
93,GTPase binding
94,GTPase inhibitor activity
95,GTPase regulator activity
96,HMG box domain binding
97,Hsp70 protein binding
98,Hsp90 protein binding
99,I-SMAD binding
100,IgG binding
101,K63-linked polyubiquitin modification-dependent protein binding
102,L-amino acid transmembrane transporter activity
103,L-ascorbic acid binding
104,L-glutamate transmembrane transporter activity
105,Lys48-specific deubiquitinase activity
106,Lys63-specific deubiquitinase activity
107,MAP kinase activity
108,MAP kinase kinase activity
109,MAP kinase kinase kinase activity
110,MAP kinase tyrosine/serine/threonine phosphatase activity
111,MHC class I protein binding
112,MHC class II protein complex binding
113,MHC class II receptor activity
114,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity"
115,N-acetyltransferase activity
116,NAD binding
117,NAD+ ADP-ribosyltransferase activity
118,NAD+ binding
119,NAD+ kinase activity
120,NAD-dependent histone deacetylase activity (H3-K14 specific)
121,NADH dehydrogenase (ubiquinone) activity
122,NADP binding
123,NADPH binding
124,NF-kappaB binding
125,Notch binding
126,PDZ domain binding
127,R-SMAD binding
128,RAGE receptor binding
129,RNA binding
130,RNA cap binding
131,RNA helicase activity
132,RNA polymerase II activating transcription factor binding
133,RNA polymerase II complex binding
134,RNA polymerase II core promoter sequence-specific DNA binding
135,RNA polymerase II distal enhancer sequence-specific DNA binding
136,RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
137,RNA polymerase II proximal promoter sequence-specific DNA binding
138,RNA polymerase II regulatory region sequence-specific DNA binding
139,RNA polymerase II repressing transcription factor binding
140,RNA polymerase II transcription factor binding
141,RNA polymerase binding
142,RNA stem-loop binding
143,RNA-DNA hybrid ribonuclease activity
144,RNA-directed DNA polymerase activity
145,Rab GTPase binding
146,Rab guanyl-nucleotide exchange factor activity
147,Rac GTPase binding
148,Rac guanyl-nucleotide exchange factor activity
149,Ral GTPase binding
150,Ran GTPase binding
151,Ras GTPase binding
152,Ras guanyl-nucleotide exchange factor activity
153,Rho GTPase binding
154,Rho guanyl-nucleotide exchange factor activity
155,S-adenosylmethionine-dependent methyltransferase activity
156,S100 protein binding
157,SH2 domain binding
158,SH3 domain binding
159,SH3/SH2 adaptor activity
160,SMAD binding
161,SNAP receptor activity
162,SNARE binding
163,SUMO transferase activity
164,TAP binding
165,TBP-class protein binding
166,TFIID-class transcription factor complex binding
167,Tat protein binding
168,U6 snRNA binding
169,"UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity"
170,UDP-glycosyltransferase activity
171,WW domain binding
172,Wnt-activated receptor activity
173,Wnt-protein binding
174,acetylcholine binding
175,acetylcholine receptor activity
176,acetylcholine receptor binding
177,acetylcholine-gated cation-selective channel activity
178,acetylgalactosaminyltransferase activity
179,acetylglucosaminyltransferase activity
180,acetyltransferase activity
181,actin binding
182,actin filament binding
183,actin monomer binding
184,actin-dependent ATPase activity
185,actinin binding
186,activating transcription factor binding
187,activin binding
188,acyl-CoA hydrolase activity
189,acylglycerol lipase activity
190,adenyl-nucleotide exchange factor activity
191,adenylate cyclase activity
192,adenylate cyclase binding
193,adrenergic receptor activity
194,alcohol dehydrogenase (NADP+) activity
195,aldehyde dehydrogenase (NAD) activity
196,alditol:NADP+ 1-oxidoreductase activity
197,aldo-keto reductase (NADP) activity
198,alpha-actinin binding
199,alpha-catenin binding
200,alpha-tubulin binding
201,amino acid binding
202,amino acid transmembrane transporter activity
203,aminoacyl-tRNA editing activity
204,aminopeptidase activity
205,amyloid-beta binding
206,androgen receptor binding
207,anion:anion antiporter activity
208,ankyrin binding
209,antigen binding
210,antioxidant activity
211,antiporter activity
