Protein,go_term_type,go_term
P32929,Component,cytoplasm
P32929,Component,cytosol
P32929,Component,extracellular exosome
Q9UFW8,Component,nucleoplasm
Q9UFW8,Component,nucleus
O14646,Component,cytoplasm
O14646,Component,fibrillar center
O14646,Component,nucleoplasm
O14646,Component,nucleus
Q8IWX8,Component,cytoplasm
Q8IWX8,Component,membrane
Q8IWX8,Component,nucleoplasm
Q8IWX8,Component,perinuclear region of cytoplasm
Q8IWX8,Component,sarcoplasmic reticulum membrane
Q99653,Component,cytoplasm
Q99653,Component,cytosol
Q99653,Component,endoplasmic reticulum
Q99653,Component,endoplasmic reticulum-Golgi intermediate compartment
Q99653,Component,extracellular exosome
Q99653,Component,focal adhesion
Q99653,Component,Golgi membrane
Q99653,Component,microtubule cytoskeleton
Q99653,Component,nucleus
Q99653,Component,plasma membrane
Q99653,Component,transport vesicle
O94983,Component,nucleus
Q96M20,Component,cytosol
Q86VU5,Component,integral component of membrane
P42695,Component,"condensed chromosome, centromeric region"
P42695,Component,membrane
P42695,Component,nuclear condensin complex
P42695,Component,nuclear pericentric heterochromatin
P42695,Component,nucleoplasm
Q8IYT2,Component,cytoplasm
Q8IYT2,Component,nucleus
Q9NSA3,Component,beta-catenin destruction complex
Q9NSA3,Component,cytoplasm
Q9NSA3,Component,cytosol
Q9NSA3,Component,nucleoplasm
Q9NSA3,Component,nucleus
Q96KP4,Component,cytosol
Q96KP4,Component,extracellular exosome
Q96KP4,Component,nucleoplasm
O95476,Component,cytoplasm
O95476,Component,endoplasmic reticulum membrane
O95476,Component,integral component of membrane
O95476,Component,lipid droplet
O95476,Component,Nem1-Spo7 phosphatase complex
O95476,Component,nuclear envelope
O95476,Component,nuclear membrane
Q9BYD5,Component,cornified envelope
Q9BYD5,Component,cytoplasm
Q969H4,Component,cell cortex
Q969H4,Component,cell-cell junction
Q969H4,Component,plasma membrane
Q6P9H4,Component,apical plasma membrane
Q6P9H4,Component,cytoplasm
O95406,Component,endoplasmic reticulum membrane
O95406,Component,endoplasmic reticulum-Golgi intermediate compartment membrane
O95406,Component,ER to Golgi transport vesicle membrane
O95406,Component,Golgi membrane
O95406,Component,integral component of membrane
Q3B7I2,Component,endoplasmic reticulum
P18545,Component,photoreceptor disc membrane
P18545,Component,plasma membrane
Q9P232,Component,anchored component of membrane
Q9P232,Component,extracellular region
Q9P232,Component,plasma membrane
Q6PJW8,Component,integral component of membrane
Q6PJW8,Component,intracellular membrane-bounded organelle
Q6PJW8,Component,membrane
Q6PJW8,Component,plasma membrane
Q6PJW8,Component,protein-containing complex
Q6PJW8,Component,trans-Golgi network
Q6PJW8,Component,transport vesicle
P26992,Component,anchored component of membrane
P26992,Component,apical plasma membrane
P26992,Component,ciliary neurotrophic factor receptor complex
P26992,Component,CNTFR-CLCF1 complex
P26992,Component,external side of plasma membrane
P26992,Component,extrinsic component of membrane
P26992,Component,plasma membrane
P26992,Component,receptor complex
Q9NXG0,Component,centriole
Q9NXG0,Component,centrosome
Q9NXG0,Component,cytoplasm
Q9NXG0,Component,cytosol
Q9NXG0,Component,extracellular exosome
Q9NXG0,Component,nucleoplasm
Q01955,Component,basement membrane
Q01955,Component,collagen type IV trimer
Q01955,Component,collagen-containing extracellular matrix
Q01955,Component,endoplasmic reticulum
Q01955,Component,endoplasmic reticulum lumen
Q01955,Component,extracellular matrix
Q01955,Component,extracellular region
Q01955,Component,extracellular space
Q01955,Component,intracellular membrane-bounded organelle
P06681,Component,extracellular exosome
P06681,Component,extracellular region
P06681,Component,extracellular space
P27658,Component,collagen type VIII trimer
P27658,Component,collagen-containing extracellular matrix
P27658,Component,endoplasmic reticulum lumen
