Protein,Druggability Score ,Total Pocket Number,Score ,Second Highest Druggable Pocket Score,Third Highest Druggable Pocket Score,Number of Alpha Spheres ,Total SASA ,Polar SASA ,Apolar SASA ,Volume ,Mean local hydrophobic density ,Mean alpha sphere radius ,Mean alp. sph. solvent access ,Apolar alpha sphere proportion ,Hydrophobicity score,Volume score,Polarity score,Charge score ,Proportion of polar atoms,Alpha sphere density ,Cent. of mass - Alpha Sphere max dist,Flexibility 
A0A024R1R8,0.637,6,0.417,0.13,0.012,20,76.081,0,76.081,274.303,16,4.086,0.734,0.85,31.75,5.25,2,2,20,3.06,7.172,0.854
A0A024RBG1,0.973,7,-0.296,0.013,0.001,61,273.988,51.784,222.204,680.444,34.267,3.912,0.458,0.738,35.231,3.923,4,1,33.333,5.64,17.784,0.778
A0A024RCN7,0.699,4,0.148,0.33,0.001,63,165.692,31.249,134.443,510.406,43,4.013,0.508,0.698,24.154,3.769,3,1,34.286,3.729,10.359,0.611
A0A075B6H5,0.159,11,0.052,0.13,0.046,17,59.101,7.589,51.512,110.02,10,3.667,0.403,0.647,28.4,4.6,3,1,38.462,1.636,3.654,0.949
A0A075B6H7,0.677,5,0.109,0.014,0.009,128,303.915,84.127,219.788,1077.137,28.807,3.927,0.472,0.445,21.167,3.833,9,0,38.028,7.594,17.805,0.978
A0A075B6H8,0.348,7,0.255,0.026,0.007,75,176.424,59.284,117.14,692.246,27.8,4.085,0.482,0.4,46.824,4.118,6,-1,36.585,5.067,12.539,0.981
A0A075B6H9,0.425,8,-0.015,0.182,0.009,18,78.132,3.259,74.873,252.754,17,4.046,0.608,1,76,5.25,2,0,18.75,2.452,5.956,0.369
A0A075B6I0,0.157,6,0.098,0.037,0.002,113,283.453,109.554,173.898,1065.117,26.333,4.044,0.463,0.319,17.85,3.8,11,-4,37.705,7.205,23.54,0.967
A0A075B6I1,0.452,8,-0.02,0.324,0.069,22,99.807,12.858,86.949,236.823,16.222,3.716,0.517,0.818,73.667,4.833,0,0,25,3.52,9.039,0.194
A0A075B6I3,0.047,5,0.038,0.034,0.002,141,326.307,142.747,183.559,1277.219,17.514,4.064,0.509,0.262,14.13,3.739,10,-3,36.842,7.683,19.742,0.986
A0A075B6I4,0.039,6,0.308,0.016,0.002,101,210.266,105.202,105.064,848.378,15.739,3.929,0.442,0.228,20.545,4.091,12,-2,38.889,6.662,16.105,0.982
A0A075B6I6,0.309,5,0.155,0.003,0.001,108,285.895,130.111,155.784,1116.621,24.571,4.031,0.497,0.324,12.81,3.667,11,-4,41.935,7.682,24.17,0.981
A0A075B6I7,0.519,5,0.207,0.021,0.017,34,170.242,45.223,125.019,553.565,17.4,3.944,0.506,0.588,66.5,5.667,6,1,25.926,4.73,13.582,0.946
A0A075B6I9,0.621,7,-0.069,0.145,0.007,25,133.481,15.133,118.348,382.003,22,4.099,0.653,1,64.333,4.833,1,0,20,4.21,9.002,0.333
A0A075B6J1,0.277,8,0.002,0.038,0.024,36,76.384,28.079,48.305,212.157,23,3.758,0.454,0.667,17.429,3.714,4,1,40.909,2.294,5.265,0.981
A0A075B6J2,0.404,4,0.228,0.003,0,92,218.798,75.091,143.708,840.295,26,4.057,0.512,0.391,25.632,3.842,7,0,38.182,6.451,18.688,0.956
A0A075B6J6,0.106,5,0.289,0.033,0.027,88,199.371,95.515,103.856,883.498,13.375,4.096,0.461,0.182,29.4,3.85,9,-3,44.898,6.197,17.265,0.974
A0A075B6J9,0.467,6,0.308,0.141,0.02,58,160.807,76.273,84.534,620.126,10.933,4.03,0.482,0.259,21.235,3.765,8,-3,37.143,5.181,14.982,0.988
A0A075B6K0,0.248,5,0.254,0.007,0.001,96,220.137,112.658,107.479,831.129,20,4.118,0.503,0.312,25.45,3.75,9,-3,40.385,6.688,17.824,0.989
A0A075B6K2,0.096,1,0.179,0,0,91,243.749,126.609,117.14,904.37,17.8,4.081,0.472,0.22,24.05,3.75,11,-3,42.308,6.747,18.966,0.984
A0A075B6K4,0.28,3,0.167,0.037,0.001,100,245.063,117.055,128.009,962.455,14.476,4.117,0.481,0.21,18.3,3.65,9,-3,41.071,6.617,20.039,0.984
A0A075B6K5,0.701,5,0.092,0.053,0,34,103.378,4.352,99.026,248.038,29.562,3.848,0.55,0.941,85.8,5,1,0,21.739,3.454,8.407,0.325
A0A075B6K6,0.123,6,0.206,0.009,0.001,114,250.935,109.643,141.292,925.364,24.884,4.006,0.467,0.377,19.545,3.773,12,-1,42.623,6.831,16.613,0.977
A0A075B6L2,0.612,15,0.175,0.358,0.31,23,114.184,13.951,100.233,348.271,16.095,3.824,0.581,0.913,49.286,4.714,4,1,25,4.932,11.023,0.934
A0A075B6L6,0.189,5,0.208,0.003,0.003,95,239.055,111.046,128.009,1074.213,19.812,4.022,0.5,0.337,19,3.85,12,0,39.286,6.859,22.229,0.949
A0A075B6N1,0.576,5,-0.094,0.001,0,145,390.563,103.148,287.415,1432.455,26.967,3.939,0.436,0.414,21.615,4.154,14,2,36.25,8.148,21.44,0.759
A0A075B6N2,0.391,7,0.141,0.007,0,122,256.366,102.364,154.002,972.113,35.111,4.021,0.481,0.369,29.75,3.85,9,1,33.333,6.861,20.095,0.983
A0A075B6N3,0.231,6,0.208,0.131,0.086,85,211.273,79.642,131.631,758.957,19.407,3.964,0.434,0.318,29.05,4.35,10,3,37.5,6.04,14.928,0.975
A0A075B6N4,0.437,6,0.127,0.001,0.001,102,260.298,102.098,158.199,887.634,17.31,3.954,0.463,0.284,32.714,4.619,12,2,38.889,6.834,17.511,0.945
A0A075B6P5,0.577,6,-0.071,0.24,0.054,23,94.588,7.5,87.087,313.054,22,4.25,0.678,1,28.8,5.2,3,0,10,2.427,7.152,0.989
A0A075B6Q5,0.906,4,0.261,0.078,0.001,65,177.136,49.464,127.672,602.034,19.484,4.028,0.511,0.477,37.875,4.062,5,-1,31.818,5.373,16.407,0.913
A0A075B6R0,0.618,7,-0.102,0.084,0.011,97,294.017,89.374,204.643,825.401,17.5,3.948,0.454,0.289,37.167,4.333,9,0,40.385,6.03,15.761,0.789
A0A075B6R2,0.205,3,0.221,0.05,0.014,49,154.439,49.376,105.064,462.073,9.385,4.082,0.479,0.265,33.357,3.571,4,-1,39.394,4.112,12.336,0.968
A0A075B6R9,0.267,6,0.136,0.008,0.003,31,131.894,60.643,71.25,388.646,12.857,4.031,0.522,0.452,-23.333,4.667,4,2,45.455,3.261,10.243,0.963
A0A075B6S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A075B6S2,0.524,8,-0.053,0.2,0.033,21,95.513,5.357,90.156,316.332,20,4.26,0.694,1,28.8,5.2,3,0,10,2.474,7.017,0.987
A0A075B6S4,0.316,8,0.376,0.167,0.119,58,155.266,44.085,111.181,699.617,20.087,4.029,0.504,0.397,49.733,4.133,5,0,31.707,5.495,14.348,0.979
A0A075B6S5,0.216,9,0.055,0.117,0.082,29,106.182,33.724,72.458,338.212,18,3.803,0.437,0.655,-0.6,5.2,4,3,36.842,2.97,8.622,0.991
A0A075B6S6,0.545,7,0.189,0.072,0.024,55,189.62,59.196,130.424,628.703,15.789,3.972,0.408,0.345,46.688,4.062,5,-1,30.556,5.167,13.409,0.978
A0A075B6S9,0.254,7,0.202,0.116,0.001,66,192.772,72.009,120.763,707.387,20.818,4.037,0.458,0.333,36,3.625,7,-1,37.5,5.116,14.845,0.982
A0A075B6T6,0.486,10,0.175,0.103,0.01,81,220.648,90.224,130.424,771.383,21.643,4.251,0.464,0.346,25.556,3.444,9,-1,46.667,6.237,17.164,0.89
A0A075B6T7,0.122,9,-0.017,0.035,0.018,104,290.541,121.473,169.068,968.058,21.267,4.175,0.466,0.288,20.667,3.571,12,-3,44.643,6.993,20.77,0.869
