Protein,go_term_type,go_term
P32929,Function,calmodulin binding
P32929,Function,carbon-sulfur lyase activity
P32929,Function,cystathionine gamma-lyase activity
P32929,Function,cystathionine gamma-synthase activity
P32929,Function,homocysteine desulfhydrase activity
P32929,Function,identical protein binding
P32929,Function,L-cysteine desulfhydrase activity
P32929,Function,L-cystine L-cysteine-lyase (deaminating)
P32929,Function,pyridoxal phosphate binding
Q9UFW8,Function,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
Q9UFW8,Function,double-stranded DNA binding
Q9UFW8,Function,identical protein binding
Q9UFW8,Function,RNA polymerase II regulatory region sequence-specific DNA binding
O14646,Function,ATP binding
O14646,Function,ATP-dependent DNA helicase activity
O14646,Function,DNA binding
O14646,Function,methylated histone binding
Q8IWX8,Function,ion channel binding
Q8IWX8,Function,RNA binding
Q99653,Function,calcium ion binding
Q99653,Function,calcium-dependent protein binding
Q99653,Function,kinase binding
Q99653,Function,microtubule binding
Q99653,Function,potassium channel regulator activity
Q99653,Function,protein kinase inhibitor activity
Q99653,Function,transporter activity
O94983,Function,chromatin binding
O94983,Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
O94983,Function,histone deacetylase binding
O94983,Function,"proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific"
O94983,Function,sequence-specific DNA binding
O94983,Function,transcription factor binding
Q96M20,Function,cAMP binding
Q86VU5,Function,O-methyltransferase activity
Q86VU5,Function,S-adenosylmethionine-dependent methyltransferase activity
P42695,Function,chromatin binding
P42695,Function,histone binding
P42695,Function,methylated histone binding
Q8IYT2,Function,mRNA (nucleoside-2'-O-)-methyltransferase activity
Q9NSA3,Function,armadillo repeat domain binding
Q9NSA3,Function,beta-catenin binding
Q96KP4,Function,alanylglutamate dipeptidase activity
Q96KP4,Function,carboxypeptidase activity
Q96KP4,Function,cytosolic dipeptidase activity
Q96KP4,Function,metal ion binding
Q96KP4,Function,metallopeptidase activity
Q13956,Function,"3',5'-cyclic-GMP phosphodiesterase activity"
Q13956,Function,cGMP binding
Q13956,Function,enzyme inhibitor activity
O95476,Function,phosphoprotein phosphatase activity
O95476,Function,protein serine/threonine phosphatase activity
Q969H4,Function,"protein binding, bridging"
P18545,Function,"3',5'-cyclic-GMP phosphodiesterase activity"
P18545,Function,cGMP binding
P18545,Function,enzyme inhibitor activity
P18545,Function,spectrin binding
Q6PJW8,Function,connexin binding
Q6PJW8,Function,phosphatase binding
P26992,Function,ciliary neurotrophic factor receptor activity
P26992,Function,cytokine binding
P26992,Function,cytokine receptor activity
P26992,Function,interleukin-27 receptor binding
P26992,Function,signaling receptor binding
Q9NXG0,Function,"protein binding, bridging"
Q9NXG0,Function,protein domain specific binding
Q9NXG0,Function,protein kinase binding
Q01955,Function,extracellular matrix structural constituent
Q01955,Function,extracellular matrix structural constituent conferring tensile strength
Q01955,Function,integrin binding
Q01955,Function,metalloendopeptidase inhibitor activity
Q01955,Function,structural molecule activity
P06681,Function,metal ion binding
P06681,Function,serine-type endopeptidase activity
P27658,Function,extracellular matrix structural constituent
P27658,Function,extracellular matrix structural constituent conferring tensile strength
P02461,Function,extracellular matrix structural constituent
P02461,Function,extracellular matrix structural constituent conferring tensile strength
P02461,Function,integrin binding
P02461,Function,metal ion binding
P02461,Function,platelet-derived growth factor binding
P02461,Function,protease binding
P02461,Function,SMAD binding
P0C0L5,Function,carbohydrate binding
P0C0L5,Function,complement binding
P0C0L5,Function,endopeptidase inhibitor activity
P0C0L5,Function,serine-type endopeptidase activity
P20908,Function,extracellular matrix structural constituent
P20908,Function,extracellular matrix structural constituent conferring tensile strength
P20908,Function,heparin binding
P20908,Function,integrin binding
P20908,Function,metal ion binding
P20908,Function,platelet-derived growth factor binding
P20908,Function,proteoglycan binding
P25940,Function,collagen binding
P25940,Function,extracellular matrix structural constituent
P25940,Function,extracellular matrix structural constituent conferring tensile strength
P25940,Function,heparin binding
P25940,Function,proteoglycan binding
Q9H4G8,Function,metal ion binding
Q7L8W6,Function,ATP binding
Q7L8W6,Function,diphthine-ammonia ligase activity
Q9BTV6,Function,diphthine methylesterase activity
Q13057,Function,ATP binding
Q13057,Function,dephospho-CoA kinase activity
Q13057,Function,pantetheine-phosphate adenylyltransferase activity
P00414,Function,cytochrome-c oxidase activity
P00414,Function,electron transfer activity
P00414,Function,oxidoreduction-driven active transmembrane transporter activity
O60397,Function,cytochrome-c oxidase activity
O43174,Function,heme binding
O43174,Function,iron ion binding
O43174,Function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"
O43174,Function,oxygen binding
O43174,Function,retinoic acid 4-hydroxylase activity
O43174,Function,retinoic acid binding
P22680,Function,cholesterol 7-alpha-monooxygenase activity
P22680,Function,heme binding
P22680,Function,iron ion binding
P05177,Function,aromatase activity
P05177,Function,caffeine oxidase activity
P05177,Function,demethylase activity
P05177,Function,electron transfer activity
P05177,Function,enzyme binding
P05177,Function,heme binding
P05177,Function,iron ion binding
P05177,Function,monooxygenase activity
P05177,Function,oxidoreductase activity
P05177,Function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
O43809,Function,AU-rich element binding
O43809,Function,chromatin binding
O43809,Function,histone deacetylase binding
O43809,Function,hydrolase activity
O43809,Function,identical protein binding
O43809,Function,mRNA binding
